StartStop	ts_LN_CR020108A	ts_LN_CR020115A	ts_LN_CR020208A	ts_LN_CR020221A	ts_LN_CR020225B	ts_LN_CR020311A	ts_LN_CR020311B	ts_LN_CR020322A	ts_LN_CR020326A	ts_LN_CR020327A	ts_LN_CR020327B	ts_LN_CR020506A	ts_LN_CR020508A	ts_LN_CR020709B	ts_LN_CR020806A	ts_LN_CR020910A	ts_LN_CR030618A	ts_LN_CR030710A	ts_LN_CR031013A	ts_PN1	ts_PN2	ts_PN3	ts_PN_CR011218B	ts_PN_CR020131A	ts_PN_CR020215A	ts_PN_CR020401A	ts_PN_CR020415A	ts_PN_CR020422A	ts_PN_CR020513A	ts_PN_CR020523A	ts_PN_CR020528A	ts_PN_CR020529A	ts_PN_CR020606A	ts_PN_CR020709A	ts_PN_CR020711A	ts_PN_CR020718B	ts_PN_CR020722A	ts_PN_CR020830A	ts_PN_CR020909A	ts_PN_CR020912A	ts_PN_CR020918A	ts_PN_CR020927A	ts_PN_CR021001A	ts_PN_CR021014A	ts_PN_CR021105A	ts_PN_CR021211A	ts_PN_CR021213A	ts_PN_CR021220A	ts_PN_CR030110A	ts_PN_CR030110B	ts_PN_CR030228B	ts_PN_CR030304A	ts_PN_CR030522A	ts_PN_CR030614A	ts_PN_CR030620A	ts_PN_CR030625A	ts_PN_CR030625B	ts_PN_CR030627A	ts_PN_CR030627B	ts_PN_CR040104A	ts_PN_CR040108A	ts_PN_CR040217A	ts_PN_CR040518A	ts_PN_CR040720A	ts_PN_CR040723A	ts_PN_CR040914A	ts_PN_CR040916A	ts_PN_CR040920A	ts_PN_CR050104A	ts_PN_CR050104B
 	10.520000	1.745600	10.238000	20.078000	10.042000	1.987200	2.571900	13.582000	0.705000	1.004500	10.132000	0.519300	2.499300	0.829600	0.257500	1.051500	4.053500	20.876000	30.297000	0.615450	4.404400	5.295600	0.923800	4.298400	21.094000	1.361500	0.992700	0.644850	0.782350	2.684600	0.313750	0.361100	0.652950	1.538400	11.118000	0.742800	0.945950	0.936400	0.872550	0.859100	0.446900	11.055000	0.640750	20.344000	11.217000	10.696000	10.566000	10.292000	0.577500	10.226000	0.335000	0.460050	0.986450	0.829650	0.957250	0.623900	0.417600	0.392200	0.336850	0.896150	10.417000	1.883800	1.929500	0.371200	10.966000	0.297900	13.575000	3.623000	0.560000	0.654050
 	20.092000	1.745700	10.560000	20.463000	10.271000	2.183300	3.270400	13.788000	0.798900	1.947100	10.421000	0.560450	2.757500	0.903600	0.283000	1.145200	10.139000	21.253000	30.593000	0.728850	4.462800	5.404600	1.036600	4.466400	21.228000	1.449000	0.992900	0.706400	0.826100	2.741600	0.350500	0.379300	0.797100	1.565400	11.153000	0.827800	10.053000	10.135000	0.941100	0.909200	0.512300	11.145000	0.688250	20.378000	11.335000	10.984000	10.712000	10.321000	0.606400	10.412000	0.361000	0.496550	12.087000	0.841950	0.998250	0.709700	0.449200	0.558950	0.361450	0.967200	10.590000	1.952200	1.972200	0.382750	11.007000	0.320200	13.629000	3.692300	0.619950	0.694250
 	20.270000	1.835100	10.826000	20.525000	10.474000	2.444300	3.519900	13.929000	0.874950	2.039000	10.655000	0.626300	3.085800	0.975400	0.299450	1.228500	10.234000	21.668000	30.830000	0.854450	4.504800	5.526800	1.140800	4.543200	21.350000	1.535000	0.993400	0.754900	0.870300	2.775000	0.387900	0.395950	0.855000	1.589800	11.896000	0.872050	10.102000	10.230000	0.974600	0.973850	0.563350	11.327000	0.754350	20.594000	11.523000	12.358000	10.980000	10.342000	0.639450	10.548000	0.381750	0.533600	12.197000	10.077000	10.025000	0.746050	0.481350	0.590500	0.393650	10.024000	10.607000	2.229100	2.138400	0.391150	11.741000	0.348300	13.686000	3.753000	0.669800	0.777250
 	30.125000	1.956600	10.930000	20.723000	10.676000	2.668700	3.602300	14.060000	0.875000	2.135100	11.101000	0.659500	3.434000	1.953600	0.322350	1.328600	10.396000	22.029000	40.256000	0.899600	4.544000	5.646800	1.273200	4.698400	21.478000	1.611000	0.995000	0.803250	0.915400	2.809600	0.416550	0.424400	1.066100	1.620000	12.152000	0.912700	10.186000	10.281000	1.015600	1.132900	0.603150	11.851000	0.823500	20.820000	11.693000	13.023000	11.008000	10.370000	0.700300	10.623000	0.403700	0.579550	12.278000	10.112000	10.128000	0.824750	0.517700	0.619300	0.416100	10.051000	10.641000	2.245000	2.477900	0.403650	11.828000	0.368800	13.741000	3.835600	0.723450	0.793300
 	30.306000	1.956700	11.479000	30.011000	10.921000	2.856800	3.755100	14.161000	0.944350	2.248700	11.247000	0.692100	3.599800	2.022700	0.344700	1.401800	10.494000	30.194000	40.448000	0.941700	4.626400	5.786200	1.374800	4.841400	21.648000	1.744400	0.995150	0.845650	0.955600	2.876000	0.451050	0.459000	1.195900	1.653800	12.412000	0.988050	10.257000	10.318000	1.235600	1.399400	0.646850	12.153000	0.883850	20.995000	11.918000	13.190000	11.456000	20.026000	0.803150	10.706000	0.425100	0.619550	12.357000	10.149000	10.223000	0.878200	0.557300	0.652500	0.439300	10.111000	10.811000	2.267200	2.530700	0.413300	11.901000	0.390550	13.827000	3.916500	0.772100	0.809450
 	30.498000	2.051700	11.882000	30.171000	11.115000	3.103900	3.883300	14.246000	0.994900	2.322500	11.375000	0.726450	4.049000	2.090600	0.370900	1.490000	10.623000	30.518000	40.700000	0.974450	4.662400	6.099200	1.465200	4.920600	26.565000	1.882900	10.028000	0.908200	10.046000	2.922400	0.487400	0.486750	1.254300	1.710500	12.569000	10.012000	10.301000	10.356000	12.294000	1.445100	0.702450	12.601000	0.952450	21.297000	12.090000	13.364000	11.934000	20.061000	10.000000	10.768000	0.448700	0.646750	12.385000	10.428000	10.299000	10.165000	0.608900	0.679400	0.467500	10.251000	10.894000	2.311000	2.679300	0.427950	11.921000	0.415700	13.941000	3.970900	0.846650	0.825450
 	30.612000	2.178900	12.243000	30.210000	11.330000	3.272300	4.107600	22.237000	1.059200	2.453900	11.432000	0.758650	4.302200	2.163000	0.402600	1.588200	10.747000	40.067000	40.873000	1.010000	4.691600	6.391400	4.455800	5.110200	27.457000	1.997700	10.050000	0.962300	10.084000	2.957900	0.531850	0.512650	1.381000	2.085500	12.988000	10.035000	10.350000	10.378000	12.345000	1.521800	0.766250	13.140000	10.082000	21.426000	12.406000	13.544000	12.046000	20.099000	10.003000	20.253000	0.470850	0.677000	12.430000	10.446000	10.390000	10.217000	0.657000	0.708050	0.487950	10.350000	10.943000	2.529100	2.808200	0.438100	11.952000	0.434900	14.053000	4.031700	0.898200	0.853100
 	30.720000	2.304300	12.798000	30.240000	11.508000	3.479000	4.294000	22.491000	 	2.545700	11.461000	0.792200	4.672300	2.235800	0.432500	1.696900	10.832000	40.179000	50.119000	1.151500	4.723800	6.544800	4.552000	5.270600	31.745000	2.090900	10.103000	10.004000	10.248000	3.002800	0.574550	0.534450	2.317500	2.107800	13.048000	10.060000	10.416000	10.405000	12.656000	1.597600	0.815350	13.802000	10.170000	21.657000	12.619000	13.657000	13.168000	20.243000	10.005000	20.438000	0.498150	0.706550	12.512000	10.534000	10.470000	10.296000	0.714750	0.747150	0.511350	10.475000	10.993000	2.550200	2.849900	0.459950	12.116000	0.447550	14.097000	4.101800	0.952350	0.970100
 	40.188000	2.424200	13.291000	30.272000	11.694000	3.684200	4.491000	22.673000	 	2.663200	11.485000	0.874100	10.254000	2.302500	0.451150	1.791100	10.987000	40.278000	50.509000	1.192900	4.765600	6.764200	4.634400	5.348400	33.568000	2.170000	10.135000	10.041000	10.580000	3.057000	0.602550	0.548550	2.337000	2.124100	13.628000	10.094000	10.518000	10.424000	12.708000	1.636800	0.869900	14.000000	10.282000	21.707000	12.773000	13.757000	13.236000	20.273000	10.318000	30.009000	0.519100	0.740100	12.563000	10.686000	10.594000	10.553000	0.765600	0.793650	0.531950	10.634000	20.077000	2.831900	3.183800	0.466750	12.219000	0.459550	14.201000	4.172400	0.998650	1.008000
 	40.329000	2.535100	13.956000	30.316000	11.932000	3.905800	4.656000	23.179000	 	2.749300	11.517000	0.917100	10.376000	2.370800	0.500700	1.906600	20.107000	40.796000	50.909000	1.257100	4.807200	6.913200	4.719600	5.483200	40.345000	2.248700	10.172000	10.076000	10.774000	3.106100	0.628600	0.571000	2.368900	2.147100	13.671000	10.121000	10.683000	10.439000	13.101000	1.738400	0.915500	14.143000	10.367000	21.956000	13.005000	13.932000	13.331000	20.296000	10.420000	30.502000	0.538500	0.782400	12.647000	10.820000	10.714000	10.575000	0.813400	0.853600	0.556900	10.759000	20.278000	2.852900	3.247500	0.481050	12.267000	0.472600	14.257000	4.227400	1.051200	1.042300
 	50.087000	2.619700	14.326000	40.080000	12.156000	4.122200	10.339000	23.402000	 	2.826700	11.615000	0.968900	10.505000	2.438300	0.530550	2.012900	20.348000	40.982000	60.213000	1.540100	4.854400	7.413800	4.808000	5.627000	41.126000	2.329300	10.291000	10.121000	10.796000	3.148300	0.661150	0.602800	2.553600	2.198600	14.078000	10.243000	10.744000	10.461000	13.150000	1.880100	0.965450	14.286000	10.445000	22.268000	13.174000	14.011000	13.930000	20.438000	10.464000	30.581000	0.557750	0.821350	12.744000	10.847000	10.796000	10.599000	0.842300	0.902050	0.583500	10.866000	20.293000	2.987800	3.714100	0.494450	12.685000	0.487400	14.298000	4.305700	1.097100	1.157700
 	51.058000	2.698400	14.750000	40.143000	12.379000	4.345300	10.579000	23.620000	 	2.971800	11.948000	0.996300	10.636000	2.517100	0.548300	2.134300	20.634000	 	60.477000	1.591100	4.903200	7.521800	4.882200	5.737800	41.329000	2.407000	10.330000	10.172000	10.823000	3.272700	0.702650	0.636450	2.602400	2.690000	14.369000	10.268000	10.805000	10.628000	13.272000	2.008400	12.237000	14.700000	10.515000	22.451000	13.359000	14.123000	14.299000	20.920000	10.549000	32.332000	0.579850	0.849000	13.105000	10.873000	10.875000	10.728000	0.882100	0.941450	0.617150	10.919000	20.477000	3.206400	3.841800	0.509700	12.739000	0.508250	14.414000	4.376300	1.149100	1.204200
 	51.264000	2.831900	20.922000	40.292000	12.620000	4.557000	10.749000	24.266000	 	2.971900	12.066000	1.055100	10.637000	2.591700	0.582550	2.228100	23.307000	 	60.849000	1.614900	4.954800	7.652000	4.979200	5.865600	41.901000	2.482500	10.356000	10.226000	10.824000	3.315800	0.764450	0.674950	3.037000	2.751700	14.436000	10.292000	10.930000	10.690000	13.586000	2.158000	12.297000	20.756000	10.620000	22.604000	13.740000	14.697000	14.556000	21.364000	10.761000	32.401000	0.600000	0.894150	13.172000	10.934000	10.957000	10.753000	0.920400	1.002800	0.639700	10.995000	20.585000	3.409300	4.050400	0.518500	12.794000	0.524000	14.484000	4.453000	1.216800	10.020000
 	51.473000	2.954000	22.816000	40.481000	12.839000	4.747900	10.990000	24.700000	 	3.077900	12.172000	1.117800	10.765000	2.662300	0.608100	2.340700	23.539000	 	70.032000	1.633400	5.007200	7.826000	5.063000	6.031800	42.224000	2.549800	10.372000	10.311000	10.862000	3.356600	0.798350	0.692350	3.469900	3.596700	21.120000	10.318000	10.995000	10.727000	14.055000	2.265300	12.353000	20.919000	10.692000	22.655000	14.096000	20.046000	20.365000	21.788000	10.808000	32.711000	0.620200	0.933500	13.221000	10.953000	11.085000	10.840000	0.987700	1.040100	0.664050	11.303000	20.641000	3.439100	4.117000	0.530950	12.840000	0.542650	14.543000	4.514200	1.263500	10.096000
 	51.796000	3.043400	23.072000	40.565000	13.070000	4.940500	11.250000	24.902000	 	3.150800	12.309000	1.151700	10.908000	2.726900	0.625900	2.443700	23.746000	 	70.355000	1.651700	5.076200	8.054000	5.144000	6.155400	 	2.625800	10.403000	10.380000	10.903000	3.402200	0.840550	0.715300	3.677500	3.624900	21.723000	10.337000	20.118000	10.771000	14.102000	2.314300	12.418000	21.041000	10.807000	22.686000	14.365000	20.231000	20.885000	22.024000	10.845000	32.756000	0.638200	0.977100	13.261000	20.189000	11.187000	10.876000	1.058700	1.079500	0.686750	11.435000	20.675000	3.498500	4.216000	0.541100	12.867000	0.562150	14.588000	4.591500	 	10.126000
 	52.238000	3.179200	23.469000	40.821000	13.342000	11.472000	11.523000	32.651000	 	3.267500	12.497000	1.192500	11.049000	2.797100	0.649750	2.546100	24.306000	 	70.592000	1.675500	5.213400	8.147000	5.228400	6.270600	 	2.706400	10.486000	10.461000	10.968000	3.429100	0.881400	0.880900	3.703900	3.683300	22.040000	10.355000	20.173000	10.814000	14.642000	2.404500	12.470000	21.256000	10.922000	23.031000	14.609000	20.382000	20.965000	22.276000	10.886000	33.058000	0.655800	10.072000	13.397000	20.206000	11.245000	10.934000	1.087100	1.101600	0.747650	11.708000	20.862000	3.643500	4.274100	0.563600	12.893000	0.586300	14.605000	4.654700	 	10.301000
 	52.583000	3.266400	23.687000	40.861000	13.601000	11.600000	11.593000	32.789000	 	3.382800	12.614000	1.223300	11.189000	2.865900	0.670850	2.637000	24.432000	 	70.817000	1.702500	5.253200	8.419800	5.331600	6.374000	 	2.785300	10.514000	10.580000	11.055000	3.459200	0.956850	0.906000	3.740000	4.135900	22.216000	10.375000	20.232000	10.847000	14.692000	2.450400	12.543000	21.442000	11.090000	23.237000	14.808000	20.500000	30.420000	22.310000	10.968000	33.098000	0.680350	10.221000	13.680000	20.250000	11.510000	10.962000	1.114600	1.132300	0.778400	11.898000	30.064000	3.670700	4.303600	0.581000	12.917000	0.611400	14.636000	4.716300	 	10.356000
 	52.818000	3.418300	24.079000	50.049000	13.784000	11.746000	11.716000	33.097000	 	3.469600	12.647000	1.256800	11.190000	2.939100	0.695900	2.748700	24.616000	 	80.094000	1.729800	5.281000	8.490800	5.420600	6.448200	 	2.885300	10.589000	10.654000	11.506000	3.498100	1.779500	0.923100	4.294700	4.371000	23.085000	10.398000	20.302000	10.873000	20.041000	2.520200	12.601000	21.791000	11.210000	23.419000	14.990000	20.668000	30.694000	22.502000	20.023000	33.740000	0.704250	10.319000	13.712000	20.269000	11.564000	20.164000	1.204800	1.160000	0.818950	11.933000	30.099000	3.883600	4.963700	0.605550	12.941000	0.645700	14.685000	4.788000	 	10.426000
 	53.000000	3.517600	24.565000	50.097000	13.971000	11.859000	11.980000	33.267000	 	3.567800	12.707000	1.291400	11.349000	3.017200	0.718300	2.862800	24.712000	 	80.438000	1.751100	5.306800	8.589400	5.503800	6.595400	 	3.011800	10.644000	10.717000	11.521000	3.543500	1.990300	0.938550	4.373000	4.402800	23.138000	10.462000	20.459000	10.905000	21.050000	2.672400	12.658000	22.977000	11.326000	23.581000	 	20.842000	30.722000	22.521000	20.100000	34.025000	0.728250	10.520000	13.768000	20.298000	11.675000	20.192000	1.273200	1.210300	0.840350	12.012000	30.146000	4.132500	10.270000	0.632150	12.999000	0.690150	14.727000	4.860100	 	10.470000
 	53.235000	3.609300	30.083000	50.331000	14.176000	11.976000	12.247000	34.611000	 	3.658300	12.823000	1.344200	11.549000	3.098300	0.739500	2.967100	 	 	80.871000	1.775300	5.348200	8.683400	5.588800	6.720800	 	3.139900	10.793000	10.775000	11.584000	3.572200	2.028900	0.957600	4.519100	4.497600	23.731000	10.508000	30.057000	10.948000	33.541000	2.735100	12.815000	23.511000	11.598000	23.856000	 	20.916000	 	22.534000	20.139000	34.061000	0.752550	10.556000	13.849000	20.412000	11.783000	20.284000	1.326000	1.254800	0.873700	12.282000	30.162000	4.185400	10.442000	0.667200	13.060000	0.715700	14.849000	4.937700	 	10.508000
 	53.531000	3.702800	30.790000	50.980000	14.418000	12.105000	12.527000	34.907000	 	3.762900	13.109000	1.375800	11.742000	3.173000	0.757950	3.065500	 	 	90.077000	1.795500	5.396400	8.760600	5.688800	6.877600	 	3.246100	10.890000	10.835000	11.638000	3.616500	2.053800	10.004000	4.537100	4.541700	24.050000	10.556000	30.094000	10.977000	33.579000	2.790400	12.923000	23.698000	11.891000	23.984000	 	30.050000	 	22.554000	20.325000	34.085000	0.779500	10.581000	13.899000	20.556000	12.168000	20.358000	1.370400	1.278200	0.895850	13.142000	30.218000	4.262300	10.472000	0.790900	13.086000	0.743000	14.948000	10.047000	 	10.531000
 	53.793000	3.702900	30.863000	60.122000	14.667000	12.240000	12.904000	42.872000	 	3.859000	13.392000	1.408700	11.912000	3.249500	0.778500	3.194600	 	 	90.406000	1.831500	5.451200	8.834200	5.784400	6.944400	 	3.332900	10.920000	10.887000	11.695000	3.651500	2.076700	10.030000	4.613300	4.834700	24.696000	10.588000	30.129000	20.119000	33.774000	2.867400	13.028000	23.735000	12.078000	24.202000	 	30.461000	 	22.947000	20.389000	34.153000	0.803950	10.613000	13.951000	20.590000	12.239000	20.422000	1.410000	1.299400	0.926400	13.448000	30.351000	4.644700	10.508000	0.864150	13.114000	0.760650	22.507000	10.100000	 	10.559000
 	54.036000	3.807000	31.835000	60.508000	14.865000	12.371000	13.122000	43.331000	 	3.954100	13.474000	1.455300	11.913000	3.322900	0.797650	3.300400	 	 	90.645000	1.896000	5.498200	8.912000	5.885200	7.039200	 	3.453700	20.015000	10.939000	11.741000	3.695200	2.112600	10.060000	4.665100	4.885000	24.732000	10.622000	30.177000	20.158000	33.810000	2.943500	13.203000	23.842000	12.185000	24.383000	 	30.551000	 	22.975000	20.419000	40.224000	0.830200	10.644000	14.000000	20.657000	12.457000	20.545000	1.454600	1.323600	0.952800	13.501000	30.384000	4.677300	10.570000	0.894250	13.171000	0.779100	22.543000	10.159000	 	10.596000
 	54.204000	3.898900	40.818000	60.590000	20.025000	12.502000	13.559000	43.482000	 	4.023000	13.822000	1.489800	12.107000	3.405200	0.816000	3.410500	 	 	90.891000	1.928400	5.550200	9.102800	5.958200	7.151800	 	3.579800	20.164000	11.006000	11.810000	3.724300	2.149000	10.111000	4.949600	4.926900	30.958000	10.680000	30.214000	20.197000	33.863000	3.057000	13.254000	24.376000	12.245000	24.570000	 	30.831000	 	23.458000	20.465000	40.509000	0.854550	10.698000	14.081000	20.701000	12.550000	20.856000	1.488500	1.350700	10.071000	13.609000	30.505000	4.867600	10.677000	0.914700	13.215000	0.797900	22.606000	10.214000	 	10.629000
 	54.515000	3.958900	41.044000	60.880000	20.253000	12.639000	13.668000	44.434000	 	4.146500	13.899000	1.527800	12.277000	3.476700	0.836800	3.530800	 	 	100.170000	1.973600	5.601400	9.230000	6.037400	7.246200	 	3.675900	20.419000	20.051000	11.850000	3.768900	2.187300	10.149000	10.059000	12.270000	31.077000	10.721000	30.262000	20.236000	34.253000	3.142100	13.333000	24.550000	12.321000	24.626000	 	30.975000	 	23.484000	20.518000	40.762000	0.889700	10.719000	14.158000	20.727000	12.640000	20.858000	1.521800	1.599200	10.101000	14.464000	30.795000	4.947100	10.716000	10.033000	13.243000	0.815550	22.642000	10.268000	 	10.694000
